,시도명,제한속도,CCTV설치여부,CCTV설치대수,보호구역도로폭
0,서울특별시,30,Y,1.0,10.005708661417323
1,경상북도,30,N,0.0,10.005708661417323
2,경상북도,30,N,0.0,10.005708661417323
3,경상북도,30,N,0.0,10.005708661417323
4,경상북도,30,N,0.0,10.005708661417323
5,경상북도,30,N,0.0,10.005708661417323
6,경상북도,30,N,0.0,10.005708661417323
7,경상북도,30,N,0.0,10.005708661417323
8,경상북도,30,N,0.0,10.005708661417323
9,경상북도,30,N,0.0,10.005708661417323
10,경상북도,30,N,0.0,10.005708661417323
11,경상북도,30,N,0.0,10.005708661417323
12,경상북도,30,N,0.0,10.005708661417323
13,경상북도,30,N,0.0,10.005708661417323
14,경상북도,30,N,0.0,10.005708661417323
15,경상북도,30,N,0.0,10.005708661417323
16,경상북도,30,N,0.0,10.005708661417323
17,경상북도,30,N,0.0,10.005708661417323
18,경상북도,30,N,0.0,10.005708661417323
19,경상북도,30,N,0.0,10.005708661417323
20,경상북도,30,N,0.0,10.005708661417323
21,경상북도,30,N,0.0,10.005708661417323
22,경상북도,30,N,0.0,10.005708661417323
23,경상북도,30,N,0.0,10.005708661417323
24,경상북도,30,N,0.0,10.005708661417323
25,충청남도,30,N,0.0,10.005708661417323
26,충청남도,30,N,0.0,10.005708661417323
27,충청남도,30,N,0.0,10.005708661417323
28,충청남도,30,N,0.0,10.005708661417323
29,경상북도,30,N,0.0,10.005708661417323
30,경상북도,30,N,0.0,10.005708661417323
31,경상북도,30,N,0.0,10.005708661417323
32,경상북도,30,N,0.0,10.005708661417323
33,경상북도,30,N,0.0,10.005708661417323
34,경상북도,30,N,0.0,10.005708661417323
35,경상북도,30,N,0.0,10.005708661417323
36,경상북도,30,N,0.0,10.005708661417323
37,경상북도,30,N,0.0,10.005708661417323
38,경상북도,30,N,0.0,10.005708661417323
39,경상북도,30,N,0.0,10.005708661417323
40,경상북도,30,N,0.0,10.005708661417323
41,경상북도,30,N,0.0,10.005708661417323
42,경상북도,30,N,0.0,10.005708661417323
43,경상북도,30,N,0.0,10.005708661417323
44,경상북도,30,N,0.0,10.005708661417323
45,경상북도,30,N,0.0,10.005708661417323
46,경상북도,30,N,0.0,10.005708661417323
47,경상북도,30,N,0.0,10.005708661417323
48,경상북도,30,N,0.0,10.005708661417323
49,경상북도,30,N,0.0,10.005708661417323
50,경상북도,30,N,0.0,10.005708661417323
51,충청남도,30,N,0.0,10.005708661417323
52,충청남도,30,N,0.0,10.005708661417323
53,충청남도,30,N,0.0,10.005708661417323
54,충청남도,30,N,0.0,10.005708661417323
55,충청남도,30,N,0.0,10.005708661417323
56,충청남도,30,N,0.0,10.005708661417323
57,충청남도,30,N,0.0,10.005708661417323
58,충청남도,30,N,0.0,10.005708661417323
59,충청남도,30,N,0.0,10.005708661417323
60,충청남도,30,N,0.0,10.005708661417323
61,충청남도,30,N,0.0,10.005708661417323
62,충청남도,30,N,0.0,10.005708661417323
63,충청남도,30,N,0.0,10.005708661417323
64,충청남도,30,Y,1.0,10.005708661417323
65,충청남도,30,N,0.0,10.005708661417323
66,충청남도,30,N,0.0,10.005708661417323
67,충청남도,30,Y,1.0,10.005708661417323
68,충청남도,30,N,0.0,10.005708661417323
69,충청남도,30,N,0.0,10.005708661417323
70,충청남도,30,N,0.0,10.005708661417323
71,충청남도,30,N,0.0,10.005708661417323
72,충청남도,30,N,0.0,10.005708661417323
73,충청남도,30,N,0.0,10.005708661417323
74,충청남도,30,N,0.0,10.005708661417323
75,충청남도,30,N,0.0,10.005708661417323
76,충청남도,30,N,0.0,10.005708661417323
77,강원도,30,N,0.0,10.005708661417323
78,강원도,30,N,0.0,10.005708661417323
79,강원도,30,N,0.0,10.005708661417323
80,강원도,30,N,0.0,10.005708661417323
81,강원도,30,N,0.0,10.005708661417323
82,강원도,30,Y,1.0,10.005708661417323
83,강원도,30,N,0.0,10.005708661417323
84,강원도,30,N,0.0,10.005708661417323
85,강원도,30,N,0.0,10.005708661417323
86,경기도,30,N,0.0,10.005708661417323
87,경기도,30,N,0.0,10.005708661417323
88,경기도,30,N,0.0,10.005708661417323
89,경기도,30,N,0.0,10.005708661417323
90,경기도,30,Y,1.0,10.005708661417323
91,경기도,30,N,0.0,10.005708661417323
92,경기도,30,N,0.0,10.005708661417323
93,경기도,30,Y,2.0,10.005708661417323
94,경기도,30,N,0.0,10.005708661417323
95,경기도,50,N,0.0,10.005708661417323
96,경기도,60,N,0.0,10.005708661417323
97,경기도,30,N,0.0,10.005708661417323
98,전라북도,30,N,0.0,10.005708661417323
99,대전광역시,30,Y,2.0,10.005708661417323
100,대전광역시,30,Y,4.0,10.005708661417323
101,대전광역시,30,Y,2.0,10.005708661417323
102,경상남도,30,Y,1.0,10.005708661417323
103,충청남도,30,N,0.0,10.005708661417323
104,충청남도,30,N,0.0,10.005708661417323
105,충청남도,30,N,0.0,10.005708661417323
106,충청남도,30,Y,1.0,10.005708661417323
107,충청남도,30,N,0.0,10.005708661417323
108,충청남도,30,N,0.0,10.005708661417323
109,충청남도,30,N,0.0,10.005708661417323
